CollegeName,TotalRegistrations
NALLA NARASIMHA REDDY GROUP OF INSTITUTION AND ENGINEERING,2
SACRED HEART UNIVERSITY,2
ARIZONA STATE UNIVERSITY,2
CHAITANYA DEEMED UNIVERSITY,2
VAAGDEVI INSTITUTE OF TECHNOLOGY AND SCIENCE,2
ST. ANN'S COLLEGE OF ENGINEERING AND TECHNOLOGY,2
CHRIST DEEMED TO BE UNIVERSITY,2
BHARATH UNIVERSITY,2
ANNAMACHARYA INSTITUTE OF TECHNOLOGY AND SCIENCES RAJAMPET,2
GITAM DEEMED TO BE UNIVERSITY,2
BALLARI INSTITUTE OF TECHNOLOGY AND MANAGEMENT,2
VELLORE INSTITUTION OF TECHNOLOGY,2
MADANAPALLE INSTITUTION OF TECHNOLOGY AND SCIENCES,2
G.PULLAIAH COLLEGE OF ENGINEERING AND TECHNOLOGY,2
ADITYA UNIVERSITY,2
TIRUMALA ENGINEERING COLLEGE,2
SREENIVASA INSTITUTE OF TECHNOLOGY AND MANAGEMENT STUDIES,2
AVN INSTITUTE OF ENGINEERING AND TECHNOLOGY,2
SIDDHARTHA INSTITUTE OF TECHNOLOGY AND SCIENCES,2
VNR VIGNAN JYOTHI INSTITUTE OF ENGINEERING AND TECHNOLOGY,2
IIITDM KANCHEEPURAM,2
JOGINPALLY B.R ENGINEERING COLLEGE,2
KRISHNA UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY,2
G PULLA REDDY ENGINEERING COLLEGE,2
KIIT UNIVERSITY,2
UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,2
SREE DATTHA INSTITUTE OF ENGINEERING & SCIENCE,2
JNTUGV,2
"CMR INSTITUTE OF TECHNOLOGY, HYDERABAD",2
SRK INSTITUTE OF TECHNOLOGY,2
JAYPEE INSTITUTE OF INFORMATION TECHNOLOGY,2
SAGI RAMA KRISHNAM RAJU ENGINEERING COLLEGE,2
ST. MARTIN'S ENGINEERING COLLEGE,2
"MLR INSTITUTE OF TECHNOLOGY (MLRIT), HYDERABAD",2
SRKREC,2
AMRITA VISHWA VIDHYAPEETHAM,2
SASI INSTITUTE OF TECHNOLOGY AND ENGINERRING,2
ACHARYA INSTITUTE OF TECHNOLOGY,2
KONERU LAKSHMAIAH UNIVERSITY,2
MANIPAL INSTITUTE OF TECHNOLOGY,2
AVANTHI INSTITUTE OF ENGINEERING AND TECHNOLOGY,2
GUDLAVALLERU ENGINEERING COLLEGE,2
"CHAITANYA BHARATI INSTITUTE OF TECHNOLOGY, PRODDATUR",2
SATHYABAMA UNIVERSITY OF SCIENCE AND TECHNOLOGY,2
SRMIST,2
MALLAREDDY ENGINEERING COLLEGE,2
NATIONAL INSTITUTE OF TECHNOLOGY KARNATAKA,2
"VELLORE INSTITUTE OF TECHNOLOGY,VELLORE",2
SASTRA DEEMED TO BE UNIVERSITY,2
NARASARAOPET ENGINEERING COLLEGE,2
PRIST UNIVERSITY,2
"MALLA REDDY COLLEGE OF ENGINEERING AND TECHNOLOGY, HYDERABAD",2
SRINIVASA RAMANUJAN INSTITUTE OF TECHNOLOGY,2
VIGNAN INSTITUE OF TECHNOLOGY AND SCIENCE,2
SRM,2
MLRITM,2
JNTU COLLEGE OF ENGINEERING,2
NO,2
R.V.R. & J.C. COLLEGE OF ENGINEERING,2
GURUNANAK INSTITUTIONS TECHNICAL CAMPUS,2
HYDERABAD INSTITUTION OF TECHNOLOGY AND MANAGEMENT,2
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES, NUZVID",2
VIGNAN INSTITUTE OF INFORMATION AND TECHNOLOGY,2
"VELLORE INSTITUTE OF TECHNOLOGY,CHENNAI",2
BHARATH INSTITUTION OF HIGHER EDUCATION AND TECHNOLOGY,2
SAI RAJESWARI INSTITUTE OF TECHNOLOGY,2
AVANTI INSTITUTE OF ENGINEERING AND TECHNOLOGY,2
VEL TECH RANGARAJAN DR.SAGUNTHALA R&D INSTITUTE OF SCIENCE AND TECHNOLOGY,2
MATRUSRI ENGINNERING COLLEGE,2
CHADALAWADA RAMANAMMA ENGINEERING COLLEGE,2
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES NUZVID,2
KOMMURI PRATAPREDDY INSTITUTE OF TECHNOLOGY,2
MALLAREDDY ENGINEERING COLLEGE AND MANAGEMENT SCIENCE,2
DAYANANDA SAGAR ACADEMY OF TECHNOLOGY AND MANAGEMENT,2
VIT AP UNIVERSITY,2
J.B.INSTITUTE OF ENGINEERING AND TECHNOLOGY,2
KONERU LAKSHMAIAH EDUCATION FOUNDATION,2
GOVERNMENT DEGREE COLLEGE KHAIRATABAD,2
MLR INSTITUTIONS OF TECHNOLOGY,2
MARRI LAXMAN REDDY INSTITUTION OF TECHNOLOGY,2
MARRI LAXAM REDDY INSTITUTE OF TECHNOLOGY,2
M L R INSTITUTE OF TECHNOLOGY,2
ANIL NEERUKONDA INSTITUTE OF SCIENCE AND TECHNOLOGY,2
MLRIT HYDERABAD,2
OSMANIA UNIVERSITY HYDERABAD,2
TECH MAHINDRA,2
ST.JOHNS COLLEGE OF ENGINEERING AND TECHNOLOGY,2
ST. JOHNS COLLEGE OF ENGINEERING AND TECHNOLOGY,2
SWECHA,2
MLR INSTITUTE OF TECHNOLOGY HYDERABAD,2
COGNIZANT,2
,2
KAKATIYA INSTTITUTE OF TECHNOLOGY,2
G.PULLAREDDY ENGINEERING COLLEGE,2
JNTUHCEJ,2
"VNRVJIET, HYDERABAD",2
PALLAVI ENGINEERING COLLEGE JNTUH AFFILIATED,2
JNTUH UNIVERSITY COLLEGE OF ENGINEERING JAGITIAL,2
KITSW,2
VARDHAMAN ENGINEERING COLLEGE,2
JNTUHCEH,2
CMR COLLEGE OF ENGINNERING & TECHNOLOGY,2
JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY OF HYDERABAD,2
VARDHAMAN COLLEGE ENGINEERING,2
STANLEY COLLEGE OF ENGINEERING AND TECHNOLOGY FOR WOMEN’S,2
MATURI VENKATA SUBBA ROA ENGINEERING COLLEGE,2
RGMCET ENGINEERING,2
GOKARAJU RANGARAJU,2
MATURI VENKATA SUBBA RAO COLLEGE,2
M.V.S.R ENGINEERING COLLEGE,2
GEETHANJALI ENGINEERING AND TECHNOLOGY,2
CHAITANYA BHARATHI INSTITUTION OF TECHNOLOGY,2
SRI SAI NEST APT,2
G.D GOENKA UNIVERSITY,2
CMRK,2
BHARATH INSTITUTE OF ENGINEERING AND TECHNOLOGY,2
ANURAG UNIVERSITY/STUDENT /CSE,2
"CMR COLLEGE OF ENGINEERING AND TECHNOLOGY (CMRCET), HYDERABAD",2
CMR COLLEGE OF ENGINNERING AND TECHNOLOGY,2
CMR GROUP OF ENGINEERING AND TECHNOLOGY,2
STANLEY ENGINEERING COLLEGE OF WOMEN'S AND TECHNOLOGY,2
MVSR ENGINNERING COLLEGE,2
INSTITUTE OF AERONAUTICAL ENGINEERING COLLEGE,2
SRINIVAS INSTITUTE OF ENGINEERING AND TECHNOLOGY,2
OU- MECS,2
CHAITNYA BHARATHI INSTITUTE OF TECHNOLOGY,2
BHARAT INSTITUTE OF ENGINEERING TECHNOLOGY,2
G.D.GOENKA UNIVERSITY,2
JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY HYDERABAD UNIVERSITY COLLEGE OF ENGINEERING RAJANNA SIRCILLA,2
GOKARAJU LAILAVATHI WOMENS ENGINEERING COLLEGE,2
JNTU COLLEGE OF ENGINEERING HYDERABAD,2
ANURAG ENGENEERING COLLEGE,2
GPREC,2
KLEF,2
"MATRUSRI ENGINEERING COLLEGE, OSMANIA UNIVERSITY",2
UNIVERSITY COLLEGE OF ENGINEERING OSMANIA UNIVERSITY,2
BVRITH COLLEGE OF ENGINEERING FOR WOMEN,2
BVRITHYDERABAD COLLEGE OF ENGINEERING FOR WOMEN,2
"G. PULLA REDDY ENGINEERING COLLEGE, KURNOOL",2
G.NARAYANAMMA INSTITUTE OF TECHNOLOGY AND SCIENCES,2
MATRUSRI ENGINEERING COLLEGE OSMANIA UNIVERSITY AFFILIATED,2
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY HYDERABAD,2
G D GOENKA UNIVERSITY,2
VAGDEVI ENGENEERING COLLEGE,2
VNR VIGNANA JYOTI INSTITUTE OF ENGINEERING AND TECHNOLOGY,2
STANLEY WOMEN'S COLLEGE OF ENGINEERING AND TECHNOLOGY,2
IFHE,2
VAAGDEVI ENGINERRING COLLEGE,2
BHARAT INSTITUTION OF ENGINEERING AND TECHNOLOGY,2
IFHE (ICFAI TECH FOUNDATION OF HIGHER EDUCATION),2
NAWAB SHAH ALAM KHAN COLLEGE OF ENGINEERING & TECHNOLOGY,2
SRIDEVI WOMEN'S ENGENEERING COLLEGE,2
BVRIT HYDERABAD COLLEGE OF ENGINNERING FOR WOMEN,2
GOKARAJU RANGARAJU COLLEGE OF ENGINEERING,2
CMR COLLEGGE OF ENGINEERING & TECHNOLOGY,2
JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY HYDERABAD COLLEGE OF RAJANNA SIRCILLA,2
JNTU COLLEGE OF ENGINEERING AND TECHNOLOGY,2
"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY HYDERABAD, RAJANNA SIRCILLA",2
ST.MARYS ENGINEERING COLLEGE,2
AARMAHAVEER COLLEGE,2
AAR MAHAAVEER ENGINEERING COLLEGE,2
NALLA NARASIMHA REDDY (NNRG),2
G.NARAYANAMMA INSTITUTE OF TECHNOLOGY AND SCIENCE FOR WOMEN,2
NALLA NARASIMHA REDDY EDUCATIONAL SOCIETY GROUP OF INSTITUTIONS (NNRG),2
BVRIT HYDERABAD ENGINNERING COLLEGE FOR WOMEN,2
STANLEY COLLEGE OF ENGINEERING AND TECHNOLOGY FOR WOMEN AUTONOMOUS,2
GEETHAJALI COLLEGE OF ENGINNERING AND TECHNOLOGY,2
"MVSR ENGINEERING COLLEGE, HYDERABAD",2
JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY OF HYDERABAD UNIVERSITY COLLEGE OF RAJANNA SIRICILLA,2
NALLA NARSIMHA REDDY EDUCATION SOCIETY GROUP OF INSTITUTE,2
JBIET COLLEGE,2
ST.MARYS COLLEGE,2
ST.MARY ENGINEERING COLLEGE,2
GD GOENKA,2
"AMRITA VISHWA VIDYAPEETHAM, CHENNAI CAMPUS",2
NALLA NARSHIMHA REDDY COLLEGE,2
NALLANARSHIMAREDDYGROUPOFINSTITUTIONS,2
NALLA NARASIMHA REDDY GROUP OF INSTITUTIONS AND TECHNOLOGY,2
NALLA NARASIMHA REDDY ENGINEERING COLLEGE,2
VAAGDEVI ENGENEERING COLLEGE,2
G.NARAYANAMMA INSTITUTE OF TECHNOLOGY,2
COLLEGE STUDENT,2
ICFAI TECH UNIVERSITY,2
GOKARAJU RANGA RAJU INSTITUTE OF ENGINEERING AND TECHNOLOGY,2
STANLEY COLLEGE OF ENGINEERING AND TECHNOLOGY WOMENS,2
BVRITN,2
"GOKARAJU RANGARAJU INSTITUTE OF ENGINEERING AND TECHNOLOGY (GRIET), HYDERABAD",2
ANURAG UNIVERISTY,2
ANURAG UNIVERY,2
"MVSR ENGINEERING COLLEGE,NADERGUL",2
ST MARY ENGINEERING COLLEGE,2
SRIDEVI ENGINEERING COLLEGE,2
ICFAI TECH UNIVERSITY OF HYDERABAD.,2
BHARATH INSTITUTE OF SCIENCE AND TECHNOLOGY,2
NALLA NARSIMHA REDDY COLLEGE,2
KONNER LAKSHMAIAH UNIVERSITY,2
"MALLA REDDY ENGINEERING COLLEGE FOR WOMEN, HYDERABAD",2
JNTUH COLLEGE OF ENGINEERING RAJANNA SIRSILLA,2
JB INSTITUTE OF ENGINEERING AND TECHNOLOGY (JBIET),2
JNTU SIRICILLA,2
JNTUH SIRICILLA,2
PALLAVI,2
GOKARAJU RANGARAJU ENGINEERING COLLEGE,2
"BV RAJU INSTITUTE OF TECHNOLOGY, NARSAPUR (BVRIT-N)",2
GOKARAJU RANGARAJU INSTITUTE OF ENGINEERING AND TECHNOLOGY.,2
JOGINPALLY B.R. ENGINEERING COLLEGE,2
ST MARTINS ENGINEERING COLLEGE,2
GEETHANJALI COLLEGE,2
BVRIT COLLEGE,2
VIDYA JYOTI INSTITUTE OF TECHNOLOGY HYDERABAD,2
CMR CILLEGE OF ENGINEERING AND TECHNOLOGY,2
"GOVT POLYTECHNIC COLLEGE, MASAB TANK",2
ICFAI UNIVERSITY HYDERABAD (IBS),2
TKR ENGINEERING COLLEGE,2
BANASTHALI VIDHYAPITH,2
MADHIRA INSTITUTE OF TECHNOLOGY AND SCIENCES,2
CMR COLLEGE OF ENGINEERING AND TECHONOLOGY,2
KORRA RAHUL,2
ECE,2
CHAITANYA BHARATHI INSTITUTE OF,2
ST MARY'S ENGINEERING COLLEGE DESMUKI HYDERABAD,2
MAHARAJ VIJAYARAM GAJAPATHI RAJ COLLEGE OF ENGINEERING (AUTONOMOUS),2
MVGR COLLEGE,2
MAHARAJ VIJAYRAM GAJAPATHI RAJ COLLEGE,2
JNTU(MAHATMA GANDHI INSTITUTE OF TECHNOLOGY),2
MALLA REDDY COLLAGE OF ENGINEERING AND TECHNOLOGY,2
VNR VIGNANA JYOTHI INSTITURE OF ENGINEERING AND TECHNOLOGY,2
CHRISTU JYOTHI INSTITUTE OF TECHNOLOGY AND SCIENCE,2
JB INSTITUTE OF ENGINEERING AND TECHNOLOGY HYDEEABAD,2
MALLA REDDY COLLEGE OF ENGINEERING AND TECHNOLOGY(MRCET),2
VIDYAJYOTHI INSTITUTE OF TECHNOLOGY,2
TKR COLLEGE,2
BVRIT HYDERABAD COLLEGE OF ENGINEERING FOR WOMEN (BVRITH) HYDERABAD,2
COLLEGE-ANURAG UNIVERSITY,2
NATIONAL INSTITUTE OF TECHNOLOGY DELHI,2
MATRUSRI ENGENEERING COLLEGE,2
VARDHAMAN COLLEGE OF ENGINEERING - JNTUH,2
BTECH,2
MALLA REDDY ENGINEERING COLLEGE AND MANAGEMENT SCIENCE,2
"MAHATMA GANDHI INSTITUTE OF TECHNOLOGY,GANDIPET",2
TRINITY COLLEGE OF ENGINEERING AND TECHNOLOGY,2
ST. ANN'S COLLEGE OF ENGINEERING & TECHNOLOGY,2
ST.ANN'S COLLEGE OF ENGINEERING AND TECHNOLOGY CHIRALA,2
JAYAMUKHI INSTITUTE OF TECHNOLOGY SCIENCE,2
UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY MAHATMA GANDHI UNIVERSITY NALGONDA,2
MAHATMA GANDHI UNIVERSITY NALGONDA,2
MGU NALAGONDA,2
VBIT COLLEGE,2
GEETHANJALI,2
STANLEY COLLEGE OF ENGINEERING AND TECHNOLOGY FOR WOMEN AFFILIATED WITH OSMANIA UNIVERSITY,2
STANLEY COLLEGE,2
"NARSIMHA REDDY ENGINEERING COLLEGE,HYD",2
GEETHANJALI COLLEGE OF ENGG. AND TECH.,2
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY (CBIT),2
GITAM UNIVERSITY HYD,2
Vignan institute of technology and science,2
Vignan Institute of Technology and Science,2
VIGNAN INSTITUTE OF TECHNOLOGY AND SCIENCE ,2
None,2
Jawaharlal Nehru Technological University Hyderabad ,2
Anurag University,2
Vasavi college of engineering ,2
Sreenidhi institute of science and technology,2
Chaitanya Bharathi Institute of Technology ,2
Malla Reddy University ,2
Stanley college of engineering and technology for women ,2
G. Narayanamma Institute of Technology and Science ,2
Jawaharlal Nehru Technological University Hyderabad,2
Vignana Bharathi Institute of Technology,2
Chaitanya Bharathi Institute Of Technology,2
Vignana Bharathi Institute of Technology ,2
LOVELY PROFESSIONAL,1
VEMANA INSTITUTE OF TECHNOLOGY,1
SRI SAI COLLEGE OF MANAGEMENT,1
LKDFJAKLD,1
ARJUN COLLEGE OF TECHNOLOGY,1
SRI VENKATESHWARA UNIVERSITY,1
ANJIRACHAPI143@GMAOL.COM,1
SWARNANDHRA COLLEGE OF ENGINEERING TECHNOLOGY,1
HCLTECHNOLOGIES,1
ROHITH VELTURI,1
DR AMBEDKAR OPEN UNIVERSITY,1
"DAYANANDA SAGAR ACADEMY OF TECHNOLOGY AND MANAGEMENT, BENGALURU",1
MNR COLLEGE OF ENGINEERING AND TECHNOLOGY,1
UNIVERSITY OF ILLINOIS SPRINGFIELD,1
SUNY NEW PALTZ & WASHINGTON UNIVERSITY OF SCIENCE AND TECHNOLOGY,1
VNRVJIET AFFILIATED TO JNTU HYD,1
SRI VENKATESWARA COLLEGE OF ENGINEERING TIRUPATI,1
PRAKASAM ENGINEERING COLLEGE,1
VASIREDDY VENKATADHRI INSTITUTE OF TECHNOLOGY,1
WILMINGTON UNIVERSITY,1
TEXAS A&M CORPUS CHRISTI,1
HARRISBURG UNIVERSITY,1
"ARIZONA STATE UNIVERSITY, TEMPE, ARIZONA, UNITED STATES",1
SRI KRISHNA DEVARAYA UNIVERSITY,1
THE OXFORD COLLEGE OF ENGINEERING,1
VIGNAN BHARTHRI ENGINEERING COLLEGE,1
SVR ENGINEERING COLLEGE,1
RAMACHANDRAN COLLEGE OF ENGINEERING,1
CHIRAYU,1
ME,1
SVCET,1
AMRITA SCHOOL OF ENGINEERING,1
ELLANKI COLLEGE OF ENGINEERING AND TECHNOLOGY,1
ADITHYA,1
GAYATRI VIDYA PARISHAD COLLAGE FOR DEGREE AND PG COURSES,1
R.M.D ENGINEERING COLLEGE,1
SRM UNIVERSITY RAMAPURAM,1
BANK OF BARODA,1
UNIVERSITY COLLEGE OF SCIENCE SAIFABAD,1
GURU NANAK INSTITUTE OF TECHNICAL CAMPUS,1
UNIVERSITY OF ILLINOIS CHICAGO,1
AVINASH DEGREE COLLEGE,1
SWARANDHARA COLLEGE OF ENGINEERING AND TECHNOLOGY,1
PURDUE UNIVERSITY,1
WELLSFARGO,1
INTELIVERSE TECH SOLUTIONS LLP,1
BASI REDDY MEMORIAL DEGREE COLLEGE,1
"CMR COLLEGE OF ENGINEERING & TECHNOLOGY, HYDERABAD (CMRCET)",1
PRAKASAM ENGINEERING COLLEGE(JNTUK),1
"NRI INSTITUTE OF TECHNOLOGY, VIJAYAWADA",1
HKBK COLLEGE OF ENGINEERING,1
KAMALA INSTITUTE OF TECHNOLOGY AND SCIENCE,1
TGRS JC BOYS TOOPRAN,1
PACE INSTITUE OF TECHNOLOGY AND SCIENCES,1
SRI CHAITANYA TECHNICAL CAMPUS,1
GURU NANAK INSTITUTIONS,1
AUDISAKARA COLLEGE OF ENGINEERING AND TECHNOLOGY,1
SRM INSTITUTE OF SCIENCE AND TECHNOLOGY KATTANKULATHUR,1
BMR DEGREE COLLEGE GAJWEL,1
SRI VIDHYA DEGREE COLLEGE,1
RAGHU INSTIUTE OF TECHNOLOGY,1
OREGON STATE UNIVERSITY,1
BMSCE,1
"JNTUH AFFILIATED , B V RAJU INSTITUTE OF TECHNOLOGY",1
KODNEST,1
JAGANS COLLEGE OF ENGINEERING TECHNOLOGY,1
MALLA REDDY COLLEGE OF ENGINEERING& TECHNOLOGY,1
SDHR DEGREE COLLEGE,1
CENTURION UNIVERSITY,1
M S RAMAIAH UNIVERSITY OF APPLIED SCIENCE,1
ANDHAR UNIVERSITY,1
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI, MANIPUR",1
PACE INSTITUTE OF TECHNOLOGY AND SCIENCE,1
MESCO INSTITUTE OF MANAGEMENT & COMP SCIENCES,1
HOLYMARY DEGREE COLLEGE,1
IIIT NAGPUR,1
NATIONAL INSTITUTE OF TECHNOLOGY TIRUCHIRAPPALLI,1
YSR ENGINEERING COLLEGE OF YVU,1
VIGNAN'S LARA INSTITUTE OF TECHNOLOGY & SCIENCE,1
MAHINDRAUNIVERSITY,1
JNTUA COLLEGE OF ENGINEERING PULIVENDULA,1
ANNAMACHARYA INSTITUTE OF TECHNOLOGY AND SCIENCES (KADAPA),1
MGIT-HYDERABAD,1
AURORA DEEMED UNIVERSITY,1
INDIRA PRIYADARSHINI GOVERNMENT DEGREE COLLEGE,1
COGNITIVEBOTICS,1
R V INSTITUTE OF TECHNOLOGY AND MANAGEMENT,1
BALAJI INSTITUTION OF TECHNOLOGY AND SCIENCE,1
REALPAGE,1
VELLORE INSTITUTE OF TECHNOLOGY -AP,1
KESHAV MEMORIAL INSTITUTE OF TECHNOLOGY.,1
MALLA REDDY COLLEGE OF ENGINEERING MRCE,1
RAYALASEEMA UNIVERSITY,1
JNTUA SCHOOL OF MANAGEMENT STUDIES,1
GATES INSTITUTE OF TECHNOLOGY,1
ST MARTIN'S ENGINEERING COLLEGE,1
OSMANI UNIVERSITY,1
NEW ENGLAND COLLEGE,1
"J.B.I.E.T, HYDERABAD",1
GURUNANAK INSTITUTIONS OF TECHNICAL CAMPUS,1
IIT INDORE,1
SHREE MEDHA DEGREE COLLEGE,1
PRINCETON COLLEGE OF ENGINEERING AND TECHNOLOGY FOR WOMEN,1
JAYPEE UNIVERSITY OF INFORMATION TECHNOLOGY,1
AVANTI SCIENTIFIC AND RESEARCH ACADEMY,1
JOB SEARCH,1
DHANALAKSHMI SRINIVASAN UNIVERSITY,1
VIGNAN LARA INSTITUTE OF TECHNOLOGY & SCIENCES,1
LIONORBIT.COM,1
"AMRITA SCHOOL OF ENGINEERING, BENGALURU",1
"VELLORE INSTITUTE OF TECHNOLOGY, AP CAMPUS",1
"VIGNAN’S FOUNDATION FOR SCIENCE, TECHNOLOGY & RESEARCH (VFSTR), GUNTUR",1
KARUNYA INSTITUTE OF TECHNOLOGY AND SCIENCES,1
DNR COLLEGE,1
CHAITANYA BHARATI INSTITUTE OF TECHNOLOGY (CBIT),1
SAVEETHA INSTITUTE OF MEDICAL AND TECHNICAL SCIENCES,1
BNM INSTITUTE OF TECHNOLOGY,1
PRATHYUSHA ENGINEERING COLLEGE,1
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTA",1
SRMAP UNIVERSITY,1
SOILSOFT TECHNOLOGIES,1
VISHWA VISHWA INSTITUTE,1
VIGNAN INSTITUTE OF ENGINEERING FOR WOMEN,1
JAYA PRAKASH NARAYAN COLLEGE OF ENGINEERING,1
IIT KANPUR,1
"ADITYA ENGINEERING COLLEGE, SURAMPALEM",1
SANKETIKA VIDYA PARISHAD ENGENEERING COLLEGE,1
SIR PADAMPAT SINGHANIA UNIVERSITY,1
VIJAY RURAL ENGINEERING COLLEGE,1
"VISHNU INSTITUTE OF TECHNOLOGY, BHIMAVARAM",1
JNTUK(PRAGATI ENGINEERING COLLEGE),1
G.PULLAIAH COLLEGE ENGINEERING AND TECHNOLOGY,1
SRI HARSHINI DEGREE COLLEGE,1
UNIVERSITY OF CINCINNATI,1
SAMHITHA DEGREE COLLEGE,1
IIT MADRAS BS DEGREE DATASCIENCE + ARTIFICIAL INTELLEGENCE AND MACHINE LEARNING FROM PVP SIDDHARTHA (JNTUK KAKINADA),1
SWARANDHRA COLLEGE OF ENGINEERING AND TECHNOLOGY,1
ST. FRANCIS COLLEGE,1
"AMRITA VISHWA VIDYAPEETHAM, CHENNAI",1
LOVELY PROFFESSIONAL UNIVERSITY,1
UNIVERSITY OF VISVESVARAYA COLLEGE OF ENGINEERING,1
ANUBOSE INSTITUTE OF TECHNOLOGY,1
VIRGINIA UNIVERSITY SCIENCE AND TECHNOLOGY,1
TSWRDC MAHENDRAHILLS AFFILIATED WITH OSMANIA UNIVERSITY,1
AMRITA VISHWA VIDYAPEETHAM CHENNAI CAMPUS,1
KKR & KSR INSTITUTE OF TECHNOLOGY AND SCIENCES,1
SHRI VISHNU ENGINERING COLLEGE FOR WOMEN,1
"OSMANIA DEGREE COLLEGE, KURNOOL",1
MERCEDES BENZ,1
ST PETER’S ENGINEERING COLLEGE,1
SEA COLLEGE OF ENGINEERING AND TECHNOLOGY,1
TEXAS A&M,1
MIRACLE SOFTWARE SYSTEMS,1
GIET COLLEGE OF ENGINEERING,1
"UNIVERSITY OF NORTH TEXAS,DENTON",1
RISHIHOOD UNIVERSITY,1
VNR VIGNANA JYOTHI INSTITUTE OF ENGINNERING AND TECHNOLOGY,1
OUTLIER,1
"APS COLLEGE OF ENGINEERING (VTU), KARNATAKA",1
IIIT BANGALORE COLLEGE,1
UNITY DEGREE COLLEGE,1
HEXAWARE TECHNOLOGIES,1
SRI CHANDRASEKHARENDRA SARASWATHI VISWA MAHAVIDYALAYA,1
ADAMS ENGINEERING COLLEGE,1
COVESTRO AG,1
NCI,1
UNIVERSITY OF NEWHAVEN,1
SIMON FRASER UNIVERSITY,1
"CALIFORNIA STATE UNIVERSITY, FRESNO",1
"GANDHI INSTITUTE OF TECHNOLOGY, VISAKHAPATNAM",1
PRIST DEEMED UNIVERSITY,1
DMSSVH COLLEGE,1
BANKATLAL BADRUKA COLLEGE FOR INFORMATION AND TECHNOLOGY,1
RMD ENGINEERING COLLEGE,1
"SRM UNIVERSITY,AP.",1
SRM UNIVERSITY-AP.,1
S R UNIVERSITY,1
VIJAYA ENGINEERING COLLEGE KHAMMAM AFFILIATED TO JNTUH,1
"INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY, BANGALORE",1
POST GRADUATE COLLEGE SECENDRABAD,1
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SRI CITY AP,1
ST JOSEPH'S DEGREE COLLEGE,1
KLH UNIVERSITY,1
ABHINAV BALAJI,1
OMEGA BUSINESS SCHOOL,1
NAIMISA PHYSIOTHERAPY,1
SRM AP UNIVERSITY,1
DMSSVH COLLEGE OF ENGINEERING MACHILIPATNAM AFFLIATED TO JNTUK,1
NBKRIST,1
ADARSH COLLEGE OF ENGINEERING,1
MALLA REDDY COLLEGE OF ENGINEERING NGINEERING AND TECHNOLOGY,1
MALAVIYA NATIONAL INSTITUTE OF TECHNOLOGY JAIPUR,1
"INSTITUTE OF AERONAUTICAL ENGINEERING (IARE), HYDERABAD",1
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY PRODDATUR,1
APARAJITHA SOFTWARE SERVICES LIMITED,1
UNIVERSITY OF BRISTOL,1
GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING FOR WOMEN,1
SREYAS INSTITUTE OF ENGINEERING AND TECHNOLOGY HYDERABAD,1
LORDS INSTITUTE OF ENGINEERING & TECHNOLOGY,1
AMAZON,1
"MATURI VENKATA SUBBA RAO COLLEGE OF ENGINEERING, AFFILIATED TO OSMANIA UNIVERSITY",1
ST. ANN'S AUTONOMOUS COLLEGE OF ENGINEERING AND TECHNOLOGY,1
UNIVERSITY OF CONNECTICUT,1
JYOTHISHMATHI INSTITUTE OF TECHNOLOGY AND SCIENCE,1
SRI VENKATESWARA COLLEGE OF ENGINEERING KADAPA,1
INDIAN INTITUTE OF TECHNOLOGY MANDI,1
"DIET, GANGURU",1
SIDDHARTHA INSTITUTE OF TECHNOLOGY AND SCIENCE,1
VIGNAN FOUNDATION FOR SCIENCE TECHNOLOGY AND RESEARCH,1
"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, ANANTAPUR",1
DAYANANDA SAGAR COLLEGE OF ENGINEERING COLLEGE,1
VELLORE INSTITUTE OF TECHNOLOGY- AP,1
B V RAJU INSTITUTION OF TECHNOLOGY,1
SRMAP,1
SREE VENKATESHWARA COLLEGE OF ENGINEERING,1
"BVC COLLEGE OF ENGINEERING, PALACHARLA",1
"MAYNOOTH UNIVERSITY, IRELAND",1
SRI INDU COLLEGE OF ENGINEERING AND TECHNOLOGY (AFFLIATED BY JNTU),1
ST MARY'S GROUP OF INSTITUTIONS GUNTUR,1
AMRITA VISHWA VIDYAPETHAM,1
ANDHRA UNIVERSITY COLLEGE OF ENGEENERING (A),1
